mean|ud_vs_ud	mean|30m_vs_ud	mean|1h_vs_ud	mean|6h_vs_ud	mean|1d_vs_ud
VPS37C	C10orf76	ATG13	ANKLE2	ALAS2
WSCD1	C10orf126	ATG16L1	ANKRD6	ALDH7A1
XRRA1	C12orf29	ATP12A	ANKRD32	ALKBH2
XXYLT1	C16orf86	ATP13A1	ANKRD44	AMMECR1L
ZFPM1	C20orf166-AS1	ATRX	ANKRD50	AMPD2
ZNF480	CA6	AURKC	ANKZF1	ANKH
ZNF512	CACNB2	B4GALNT1	ANLN	ANO1
NA	CBFA2T2	BARGIN	ANO3	ANO4
NA	CBX3	BAZ2B	AQP5	ANO9
NA	CCDC149	BRICD5	AQPEP	APCDD1
NA	CCDC183	BRSK2	ARHGAP17	ARAP1
NA	CCL4L1	C1orf87	ARHGAP26	ARF4
NA	CCR8	C1orf220	ARHGAP27	ARFGAP2
NA	CD9	C1QTNF4	ARHGEF3	ARHGAP28
NA	CD101	C2orf48	ARID4B	ARHGAP32
NA	CDC16	C2orf71	ARMS2	ARHGEF1
NA	CDK16	C3orf18	ASB17	ARHGEF2
NA	CDX1	C6	ASB18	ARHGEF10
NA	CECR6	C6orf222	ASPSCR1	ARNTL2
NA	CELF1	C8orf82	ATF2	ARPP21
NA	CENPW	C9orf40	ATG4B	ASB5
NA	CES5A	C9orf114	ATOH7	ASL
NA	CHAMP1	C9orf117	ATP5F1C	ATG9A
NA	CHMP2B	C9orf156	ATP10A	ATP1A4
NA	CHMP4C	C11orf16	ATP10B	BARD1
NA	CHRM2	C13orf42	ATRN	BBOX1
NA	CMPK2	C19orf18	B3GALTL	BBS4
NA	CMTM4	C20orf144	BABAM1	BCAR1
NA	COLEC11	CALM1	BAMBI	BCAR3
NA	CPO	CALN1	BAX	BCL10
NA	CRLS1	CASP6	BBIP1	BIRC8
NA	CRYBA4	CASP7	BEX2	BMP8A
NA	CSNK1G1	CASP12	BHLHB9	BMP8B
NA	CSRP2BP	CASQ1	BICD1	BOK
NA	CXCL10	CBL	BIN3	BOP
NA	CXorf36	CCDC108	BMP4	BRINP1
NA	CXorf38	CCDC148	BNIP2	BRWD1
NA	CYB5R3	CCDC172	BORA	C1orf145
NA	CYP2U1	CCDC178	BPNT1	C1orf195
NA	DCAF11	CCL11	BTN2A1	C1QC
NA	DCAF12	CCL20	C1orf198	C1QTNF3
NA	DDX31	CCL23	C2orf88	C2CD2L
NA	DDX42	CCNY	C4orf29	C3orf20
NA	DEGS2	CCRL2	C7orf31	C5orf34
NA	DHRS11	CDC6	C9orf57	C6orf106
NA	DPP3	CDCP1	C9orf170	C6orf136
NA	DPP4	CDK11A	C10orf120	C8B
NA	DSTN	CDRT4	C10orf126	C9orf84
NA	E2F2	CEBPA	C11orf53	C10orf35
NA	EBLN2	CEBPZ	C12orf29	C11orf16
NA	EFCAB5	CELF2-AS1	C14orf79	C11orf52
NA	EFCAB9	CEP41	CABYR	C12orf10
NA	EFCAB14	CERK	CACNA2D4	C12orf42
NA	EFHD2	CFH	CAPSL	C13orf46
NA	EIF2AK1	CFP	CASP8	C15orf32
NA	EIF5A	CHEK1	CAST	C15orf56
NA	ELMOD3	CHST11	CBFA2T3	C16orf78
NA	EPHA4	CINP	CBX3	C16orf97
NA	EPHB1	CLBA1	CCBE1	C17orf85
NA	ERBB3	CLCN6	CCDC39	C17orf98
NA	ERC2-IT1	CLEC4C	CCDC51	C19orf44
NA	ERICH3	CLEC5A	CCDC78	C20orf24
NA	ETNK2	CNTLN	CCDC90B	CABLES1
NA	FADS3	CNTRL	CCDC101	CACNG6
NA	FAM60A	COG7	CCDC120	CALML3
NA	FAM71D	COL3A1	CCDC140	CALR3
NA	FAM127C	COLCA2	CCDC180	Cap
NA	FAM133A	CORO7	CCDC183	CAPS2
NA	FAM135B	COX7A2P2	CCER1	CASP12
NA	FAM240B	CPLX1	CCK	CBFA2T3
NA	FBLN1	CRACR2B	CCM2L	CCDC24
NA	FGB	CRTC2	CD8A	CCDC83
NA	FLNC	CSRNP3	CDC16	CCDC90B
NA	FLYWCH2	CYP11B1	CDC25C	CCDC129
NA	FMNL3	DAB2IP	CDYL	CCKBR
NA	FNDC5	DCLK1	CENPW	CCNO
NA	GABPA	DCLRE1B	CEP44	CCP110
NA	GAP43	DDIT4	CES5A	CCT6A
NA	GARNL3	DENND3	CHAD	CCT8
NA	GLRX2	DENND6B	CHMP2B	CD84
NA	GPN1	DEPDC1	CIRBP	CDC6
NA	GRAMD4	DFNA5	CKMT2	CDC42SE1
NA	GRHL3	DGKD	CLEC18A	CDC73
NA	GRSF1	DHDDS	CLINT1	CDCA8
NA	GSC2	DHRS2	CNNM4	CDK8
NA	GSTA1	DHRS3	COBLL1	CDKN2AIPNL
NA	GSTO2	DIRAS3	COL1A1	CDRT4
NA	GTF3C5	DIS3L	COL2A1	CEBPA
NA	H6PD	DKK1	COL12A1	CENPO
NA	HADH	DMPK	COLCA2	CEP19
NA	HIC2	DNAJC5G	COQ10B	CEP72
NA	HMG20B	DNAJC11	COX20	CFAP36
NA	HMX1	DNHD1	CPD	CGB1
NA	HNRNPA1L2	DOCK2	CREBZF	CGNL1
NA	HSD11B1	DOCK3	CREM	CHAF1A
NA	HTATIP2	DOPEY2	CRLS1	CHCHD4
NA	HYDIN	DPF3	CSNK1G1	CHODL
NA	IFI44	DSN1	CST4	CHRNA6
NA	IFNA5	DTWD1	CST9LP1	CIRBP
NA	IFNL4	DUBR	CTF1	CLASRP
NA	IFT22	DUSP26	CTNNBL1	CLDN12
NA	IL4I1	DYNLT3	CXorf36	CLEC4C
NA	IL32	DZANK1	CXorf38	CLEC10A
NA	INA	ECI2	CYP4V2	CLSTN3
NA	ISCU	EFNB3	CYP27B1	CNOT6
NA	ISM2	EIF4G3	DACT3	CNP
NA	JRK	EPS8L1	DCAF7	CNTF
NA	KCNIP2	ERC1	DCAF11	COL1A1
NA	KCNIP3	ERICH3	DDX21	COQ7
NA	KCNMB4	ERVK-16	DEFB123	COX6A2
NA	KCNU1	ESCO1	DEPDC5	CPNE6
NA	KCTD1	EXOC1L	DKK2	CREG1
NA	KIAA0391	FAM101B	DLC1	CRYBA1
NA	KIAA0556	FAM109A	DLGAP1	CRYM
NA	KIAA0586	FAM110C	DNAH7	CSF2RA
NA	KIF2C	FAM127B	DNAJB2	CSMD3
NA	KLF5	FAM132A	DNAJB3	CSNK1G2
NA	KLHL20	FBLIM1	DNAJB14	CTHRC1
NA	KRT4	FBXL12	DNAJC19	CTSA
NA	KTN1	FBXO5	DOCK1	CYB561A3
NA	LATS1	FBXO6	DOK5	CYTH1
NA	LBH	FBXO11	DPY19L1	DAGLA
NA	LEMD1	FBXO15	DPY19L3	DENND6A
NA	LENG1	FBXO24	DPYSL4	DEPDC1
NA	LEPREL1	FCHO1	DSG3	DHPS
NA	LETMD1	FCHSD1	DSTN	DIAPH2
NA	LHFPL4	FCRL2	DUSP4	DIXDC1
NA	LINC00526	FCRL3	DYNC1I2	DMRT1
NA	LINC00869	FGD2	EAF2	DNAH5
NA	LIPI	FGF8	EBLN1	DNAH14
NA	LMOD1	FGF14	EEF2KMT	DNAJB8
NA	LOC285556	FGF23	EID3	DNAJC14
NA	LOC102724428	FGFR1OP2	EIF2AK1	DNHD1
NA	LPGAT1	FMNL2	EIF5A	DOK4
NA	LRRC73	FREM2	ELMOD3	DTX2
NA	LTN1	FRMD1	EMB	DUT
NA	MAFK	FTH1	EML4	DYNC2H1
NA	MAMSTR	FUT4	ENDOV	DYNLRB1
NA	MANF	G0S2	ENPP2	DYX1C1
NA	MAP3K7CL	GABARAPL1	EPS8L2	EDARADD
NA	MAP6	GABRG2	ERC2-IT1	EEF1D
NA	MCF2L	GBP6	ERICH3	EFCAB3
NA	MEI4	GCC2	ESRG	EFNB2
NA	MFSD5	GID4	EXOC6B	EGLN1
NA	MIB2	GIMAP4	EXOG	EIF4E
NA	MINPP1	GLYATL1	EXOSC2	EMC4
NA	MLLT1	GNAS	F2RL1	ENAH
NA	MOB3A	GNAZ	FABP5	ENY2
NA	MORC4	GNL3	FAM66E	EPPIN
NA	MORN5	GNPTG	FAM205BP	ERC1
NA	MRGPRX4	GON4L	FAM210B	ERICH2
NA	MROH1	GPD2	FBXL19	ESCO2
NA	MRPL47	GPKOW	FBXO5	ETHE1
NA	MS4A13	GPR37	FBXO32	EVA1A
NA	MSH5,MSH5-SAPCD1	GPR124	FBXO36	EXOC1L
NA	MSI1	GPR153	FCER1A	EXOC5
NA	MTFMT	GPR161	FGL2	FAM45A
NA	MTHFD1L	GRAMD1B	FHL1	FAM69B
NA	MTHFD2	GRAMD1C	FILIP1L	FAM83F
NA	MTNR1A	GRASP	FIP1L1,AC058822.1	FAM110B
NA	MXD3	GRHL3	FMN2	FAM127A
NA	MYL5	GRIN2A	FOXP4	FAM151B
NA	MYL6	GSAP	FTO	FAM184A
NA	MYO5B	GSR	GAB4	FAM189B
NA	MYRIP	GTDC1	GABARAPL1	FAM205CP
NA	NA	GTF2F2	GALNT10	FASTK
NA	NAA60	GTF2E1	GANC	FBXO15
NA	NAT1	H2BFS	GAREML	FBXW2
NA	NAV3	HACL1	GBX2	FER1L4
NA	NDC1	HBM	GCC1	FER
NA	NEXN	HDAC11	GDE1	FGF8
NA	NIT1	HEPACAM2	GEMIN2	FGFR1OP
NA	NLRC3	HEPH	GEMIN8	FLI1
NA	NOL8	HIST1H2AB	GFRA3	FMN1
NA	NOM1	HIST1H2AD	GLE1	FMN2
NA	NRL	HIST1H2BC	GLIPR2	FNBP1L
NA	NT5C3A	HIST1H2BK	GMPR2	FOLH1
NA	NUDCD1	HIST3H2A	GMPS	FOSL1
NA	NUDT15	HIVEP1	GNG3	FOXB1
NA	NUMB	HMGB4	GOLGA2	FOXRED1
NA	NUP210	HMGN3	GOLGA8N	FPGS
NA	OCEL1	HN1L	GOLGA8O	FPGT
NA	OLFML3	HSCB	GOLGA8Q	FREM1
NA	OTOP3	HSPB9	GOLGA8R	FRRS1L
NA	PALB2	HTR3D	GOPC	FSTL1
NA	PALMD	HYKK	GPR123	FTH1
NA	PARP11	IDH3B	GPR158	FXYD6
NA	PARP14	IDI2-AS1	GPRIN2	GAD2
NA	PARVA	IDNK	GRAMD4	GALNT3
NA	PARVB	IFT20	GRSF1	GALNT12
NA	PCDHGA8	IFT57	GTF2A1L	GCC2
NA	PCSK4	IFT80	GTF3C5	GLS2
NA	PCYT2	IGHV3-9	GYS1	GMIP
NA	PDE3B	IL17A	HADH	GMPR2
NA	PDE8A	IL17RD	HDAC2	GNL1
NA	PDK2	IL24	HDAC7	GNN
NA	PDLIM5	IMP3	HEMGN	GRAMD3
NA	PDS5B	IMUP	HEY2	GRHPR
NA	PEO1	IPP	HIBCH	GRM4
NA	PEX1	IQCF5	HIC2	GRXCR2
NA	PEX11B	IQCF6	HIST3H3	GTPBP8
NA	PEX14	IRAK1BP1	HMG20B	GYG2
NA	PHF14	IRF1	HNMT	H1F0
NA	PID1	ISPD	HOXA13	HACD1
NA	PLEK	ITCH	HPN	HAS1
NA	PLEKHA7	ITLN2	HRASLS	HBM
NA	PLEKHH1	JPH2	HRCT1	HDAC4
NA	PLEKHN1	KCNE5	HS3ST2	HECW1
NA	PLK3	KCNH2	HS3ST6	HERC2
NA	PLXNB2	KDELR2	HSD11B1	HERC4
NA	PM20D2	KDM3B	HSD17B14	HES6
NA	POLD4	KDM6B	HSDL2	HIPK2
NA	POLR2J	KIAA0226	HSPA5	HLA-DRB5
NA	POLR3C	KIAA0319	HSPA14	HLTF
NA	POMP	KIAA1217	HSPB6	HMGCS2
NA	PON2	KIAA1407	HTATSF1	HOXB4
NA	PPME1	KIF12	HTR3B	HRH2
NA	PPP1R12C	KIF26B	IFT22	HSCB
NA	PPP1R13L	KLC1	IFT81	HSD17B8
NA	PPP1R14C	KLF4	IL18	IBA57
NA	PPP2R2B	KLHL12	IL18RAP	IDH3A
NA	PPP2R3A	KRT20	IMMP2L	IDH3B
NA	PROCA1	KXD1	INO80D	IFIT1
NA	PRR25	L1CAM	INPP5B	IFT20
NA	PRX	LATS2	INSM1	IFT88
NA	PSTPIP2	LCA5	IQCJ	IGF2BP2-AS1
NA	PYGM	LCHN	IQSEC3	IGFBP3
NA	RADIL	LCORL	IRAK2	IGHV3-33
NA	RAI1	LDHAL6A	IRGC	IGLC7
NA	RALGDS	LDHD	ISCU	IKZF4
NA	RAPGEF4	LDLRAD4	ISM2	IL1RL1
NA	RBM15	LHX2	ITGB1BP2	IL9R
NA	RBM26	LIAS	ITSN1	IL33
NA	RGS20	LINC00271	JMJD1C	IMPG1
NA	RHPN2P1	LINC01553	KANK4	INHA
NA	RNASEK	LMOD2	KANSL3	IQCB1
NA	RNGTT	LOH12CR1	KATNAL2	IRF1
NA	RP9	LONP1	KCNAB2	IRF5
NA	RPLP0	LPHN3	KCNK2	IRF6
NA	RSRP1	LPXN	KCNU1	IRF7
NA	S1PR3	LRIF1	KCTD1	ISCA1
NA	SARS2,AC011455.2	LRRC75A	KIAA0391	ITLN2
NA	SCIN	LRRFIP1	KIAA0408	IZUMO2
NA	SCML4	LST1	KIAA1522	KAZN
NA	SCN1B	LXN	KIF2B	KCNC1
NA	SELO	LY6H	KIF3A	KCNIP2
NA	SEPT7	MAB21L2	KL	KCNJ1
NA	SEPTIN2	MACF1	KLF5	KCNJ11
NA	SERF2	MAEL	KLF10	KCTD19
NA	SETMAR	MAP3K19	KLHL42	KDM3B
NA	SHC3	MAP6D1	KLK2	KDM6B
NA	SHLD3	MARCH6	KLRK1	KIAA1217
NA	SIK1	MAU2	KRT24	KIAA1549
NA	SIM1	MCM2	KRT36	KIAA2013
NA	SLC7A2	MDM1	LAPTM4B	KIF12
NA	SLC9C2	MEMO1	LGI4	KITLG
NA	SLC25A34	MIDN	LIG4	KLF5
NA	SLC25A37	MIGA2	LILRB5	KLHDC8B
NA	SLC44A2	MLF1	LIMS1	KLHDC10
NA	SLC51A	MMP1	LIMS3	KLHL5
NA	SMIM10L2A	MOB3B	LIMS3L	KLHL36
NA	SMPX	MPZL1	LINC00587	KMO
NA	SND1-IT1	MRPL12	LINC00588	KMT2B
NA	SOX7	MRPL32	LINC00869	KRT14
NA	sp|A8MXQ7|YH010_HUMAN Putative IQ motif and ankyrin repeat domain-containing protein LOC642574 OS=Homo sapiens OX=9606 PE=5 SV=2	MSANTD1	LIPT2	KRT20
NA	SPAAR	MT-ATP8	LMO7	KTN1
NA	SPANXN4	MTCL1	LOC102724428	KXD1
NA	SPATA2	MTERF2	LPAR6	L1CAM
NA	SPATC1L	MTHFD2L	LPGAT1	LAMP1
NA	SPIN1	MUM1L1	LPL	LARP1
NA	SPTBN1	MYBL1	LRAT	LARP7
NA	SRP54	MYH8	LRP1	LCE6A
NA	SSPN	MYH10	LRRC49	LCORL
NA	SSX9	MYO9A	LRRC75B	LGALS8
NA	STAC	N4BP2	LTBP4	LGR6
NA	STRIP1	NA	LZTFL1	LHX2
NA	STRN	NAA10	MADCAM1	LIN54
NA	SUGP2	NADSYN1	MAN2A2	LINC00271
NA	SUPT20HL2	NAPEPLD	MAP3K2	LINC00483
NA	TADA1	NAT10	MAP3K3	LINC00963
NA	TBC1D2	NBL1	MAP7	LMNTD1
NA	TDRD7	NBPF3	MAPKAPK5-AS1	LOH12CR1
NA	TERF2IP	NDRG3	MARCOL	LPO
NA	TESK2	NDUFV2	MBD1	LPP
NA	TIAM1	NFYC	MCAT	LPPR4
NA	TLK1	NKX3-1	MCF2L	LRRC17
NA	TMC3	NLRP12	MDH1	LTB4R
NA	TMEM31	NOX4	MDS2	LXN
NA	TMEM70	NR3C1	MENT	LYSMD2
NA	TMEM120A	NR2E1	MFSD5	LYZ
NA	TMEM202	NREP	MGRN1	MAP3K15
NA	TMIGD1	NRG2	MILR1	MAP7D2
NA	TMSB15A	NSL1	MLST8	MAPK13
NA	TMSB15B	NT5C2	MMS19	MAPT
NA	TNFRSF13B	NT5C3B	MMTAG2	MCCC1
NA	TNS1	NTRK3	MPP1	MCMDC2
NA	TOE1	NUAK1	MPV17L	MDM1
NA	TONSL	NUDT4	MRPL50	MECOM
NA	TPM1	NUGGC	MRPL52	MED7
NA	TRAF7	OAF	MRPS27	MELK
NA	TRIM16	OLAH	MSI1	MEPCE
NA	TSLP	OLFML2A	MSRB3	METTL7B
NA	TSTD1	OLR1	MTFMT	METTL15P1
NA	TTC39A	OR1S1	MTMR2	MIR22HG
NA	TTC39B	OR2G6	MTNR1A	MITF
NA	TXNDC2	OR4N2	MYL7	MKNK1
NA	UBE3B	OR13F1	MYO15A	MKRN2
NA	UGP2	ORAI3	NA	MLF1
NA	UMODL1	OSBPL3	NAB2	MLLT3
NA	UPRT	OTOF	NADK2	MLYCD
NA	USP15	OXR1	NAP1L2	MMP9
NA	USP27X	PACRGL	NAPRT	MNT
NA	UST	PANK4	NAT9	MOK
NA	VCAN	PAPLN	NCK1	MON1A
NA	VPS8	PCDHB18P	NDST1	MPPE1
NA	VPS37B	PCDHGA4	NDUFAF2	MRFAP1L1
NA	VWA2	PCDHGA10	NEIL1	MRPL2
NA	VWA5B1	PCK2	NEMF	MRPL42
NA	WDR54	PDCL2	NEO1	MSI2
NA	WDR78	PDE4D	NFATC4	MSL2
NA	WDTC1	PDK1	NFIB	MTCL1
NA	WFDC3	PHACTR3	NGLY1	MTF2
NA	WRB	PHEX	NHLRC3	MTG2
NA	YWHAB	PHKG1	NIT1	MTMR14
NA	ZBTB14	PLA2G2A	NKPD1	MTUS2
NA	ZBTB38	PLCD1	NLRC3	MXRA5
NA	ZCCHC8	PLEKHG5	NME7	MXRA8
NA	ZDHHC20	PLXDC1	NOL12,Z83844.1	MYBPC2
NA	ZFP36L1	PNPLA7	NOX3	MYO3B
NA	ZFYVE26	POGK	NOXO1	N4BP2L1
NA	ZKSCAN3	POU5F2	NPHS1	N4BP2L2
NA	ZMAT1	PPARD	NR1H3	NA
NA	ZMYM4	PPIL3	NR1I2	NAGPA
NA	ZNF181	PPP1R1A	NR2C1	NAIF1
NA	ZNF195	PPP1R16B	NRL	NAIP
NA	ZNF256	PPP2R5D	NRN1	NANOGNB
NA	ZNF318	PPP3CA	NSMAF	NAT8B
NA	ZNF438	PRAM1	NT5C3A	NBAS
NA	ZNF658	PRKCZ	NTS	NCKAP5
NA	ZNF662	PROSER2	NUDC	NDC80
NA	ZNF750	PRPF31	NUDCD1	NDUFAF6
NA	NA	PRPF38A	NUDT15	NELFB
NA	NA	PSMB7	NXN	NEURL1
NA	NA	PSPH	OAZ1	NFATC4
NA	NA	PTCD1	ODF2	NFS1
NA	NA	PTK2	OGFOD2	NFX1
NA	NA	RAB26	OPTC	NGFRAP1
NA	NA	RAB41	OR1C1	NIPSNAP1
NA	NA	RAD9B	OR2B11	NMNAT3
NA	NA	RALGAPB	OR2T27	NMUR2
NA	NA	RALYL	ORC3	NNT
NA	NA	RAPGEF5	ORC5	NPHS2
NA	NA	RAPGEFL1	OTOF	NPIPA5
NA	NA	RBCK1	PAFAH2	NR6A1
NA	NA	RBM6	PALMD	NRG1
NA	NA	RBM24	PAM16	NT5C2
NA	NA	RBM25	PCM1	NUAK1
NA	NA	RBP2	PCMTD2	NUDT9
NA	NA	RCBTB2	PCTP	NUTM1
NA	NA	RCC1	PDC	NXPH4
NA	NA	REG3A	PDGFRB	NYAP1
NA	NA	REXO5	PDK2	OARD1
NA	NA	RFC2	PDS5B	OIP5
NA	NA	RFNG	PEX11B	OLR1
NA	NA	RFX8	PEX14	OPN1LW
NA	NA	RIT1	PHGDH	OPN1MW
NA	NA	RMDN1	PIAS1	OR11H4
NA	NA	RNASEH2C	PISD	OR13F1
NA	NA	RNF14	PLA2G15	OR13G1
NA	NA	ROBO2	PLBD1	ORC4
NA	NA	RPL6	PLD5	OSBPL2
NA	NA	RPS6KA1	PLN	OSMR
NA	NA	RPS15	PLSCR3	OTOL1
NA	NA	RPUSD3	POLD4	OXR1
NA	NA	RRNAD1	POLR1D	PACS2
NA	NA	RSPH3	POLR2J	PAFAH1B2
NA	NA	RSPH10B2	POLRMT	PAGE4
NA	NA	RSPH10B	POMP	PAM
NA	NA	RTKN2	POP1	PANK4
NA	NA	SALL3	POP5	PANO1
NA	NA	SCGB3A2	PPAT	PCCA
NA	NA	SCML2	PPME1	PCDHB1
NA	NA	SCNN1A	PPP1R32	PCDHB4
NA	NA	SCNN1B	PPP2R2B	PCDHB11
NA	NA	SCP2	PPP2R3A	PCDHB18P
NA	NA	SCRN3	PRAMEF10	PCM1
NA	NA	SDS	PRB4	PCNP
NA	NA	SGPL1	PRDM9	PDCD4
NA	NA	SGPP2	PRKAG2	PDE4A
NA	NA	SH3D19	PRKCA	PDLIM2
NA	NA	SH3RF2	PRKCB	PDZD11
NA	NA	SIRT4	PROX1	PGR
NA	NA	SIRT7	PRR5L	PHTF1
NA	NA	SIX4	PRRC2B	PI4KB
NA	NA	SLC2A11	PRSS33	PIK3R3
NA	NA	SLC2A12	PRSS46	PKLR
NA	NA	SLC4A7	PRX	PLCD1
NA	NA	SLC5A2	PSEN1	PLEC
NA	NA	SLC6A9	PSMD1	PLEKHG5
NA	NA	SLC7A6	PSRC1	PLTP
NA	NA	SLC9B2	PTOV1	PLXDC2
NA	NA	SLC12A8	PTPN12	PNKD
NA	NA	SLC15A3	PYGM	PNLIPRP2
NA	NA	SLC18A2	RAB44	PNMA6A
NA	NA	SLC22A14	RAD17	POLR1A
NA	NA	SLC24A5	RAI14	POP1
NA	NA	SLC30A8	RALGDS	POTEB3
NA	NA	SLC35A3	RAMP3	POTEE
NA	NA	SLC35F5	RAPGEF4	POU5F2
NA	NA	SLCO1A2	RASGRP4	PPCDC
NA	NA	SMAD2	RASSF9	PPP1R14D
NA	NA	SMC4	RBM14	PPT2
NA	NA	SMEK3P	REM1	PRDM15
NA	NA	SMRP1	RETSAT	PRKACG
NA	NA	SMYD3	RGPD2	PROCA1
NA	NA	SORBS3	RGPD4	PRR26
NA	NA	SOWAHC	RGS9	PSMA8
NA	NA	SP110	RHBG	PSMB7
NA	NA	sp|Q6ZRP5|YD019_HUMAN Putative uncharacterized protein FLJ46204 OS=Homo sapiens OX=9606 PE=5 SV=2	RLIM	PSPH
NA	NA	SPATS1	RNASEH2B	PTCH1
NA	NA	SPEF2	RNF24	PTK6
NA	NA	SRL	RNF31	PTOV1
NA	NA	ST6GALNAC1	RNF32	PTPRE
NA	NA	STIM1	RNF165	PUS1
NA	NA	STK19	RNF214	PVT1
NA	NA	STK35	ROBO4	RAB9A
NA	NA	STRADB	RPA2	RAB12
NA	NA	STXBP5	RPGR	RABEPK
NA	NA	SUN3	RPP21	RALGAPB
NA	NA	SYNE1	RPTOR	RANBP2
NA	NA	SYNGR4	RRM2B	RANBP3
NA	NA	SYNM	RUFY2	RAPGEF4
NA	NA	TACC3	RXYLT1	RASIP1
NA	NA	TAZ	S100A14	RASSF2
NA	NA	TCEAL2	SAMD3	RBBP6
NA	NA	TCEAL4	SAMD11	RBFOX2
NA	NA	TCF3	SAMD13	RBP1
NA	NA	TCL1A	SCCPDH	RCBTB2
NA	NA	TCP10L2	SCIN	RDH13
NA	NA	TCP11	SCN2B	REPS1
NA	NA	TCP11L1	SEPT7	RFPL2
NA	NA	TEFM	SEPT14	RGS3
NA	NA	TGFB3	SEPTIN2	RGS9BP
NA	NA	THEM6	SERPINE3	RHBDF2
NA	NA	THG1L	SEZ6L	RHBG
NA	NA	THOP1	SH2D3C	RHOQ
NA	NA	TIMM22	SH3BP2	RHPN1
NA	NA	TKTL1	SH3KBP1	RIN2
NA	NA	TMC8	SHANK3	RMDN1
NA	NA	TMCC1	SIK1	RNF14
NA	NA	TMEM9B	SLA	RNF150
NA	NA	TMEM78	SLC1A1	RNFT2
NA	NA	TMEM98	SLC4A2	RORC
NA	NA	TMEM126B	SLC4A3	RPA4
NA	NA	TMEM163	SLC7A2	RPL17
NA	NA	TMEM183B	SLC9A6	RPL26L1
NA	NA	TMEM241	SLC26A1	RPS6KB1
NA	NA	TMF1	SLC29A1	RSPH3
NA	NA	TMPRSS3	SLC29A2	S100A12
NA	NA	TMSB10	SLC29A4	SALL3
NA	NA	TNFRSF10B	SLC30A6	SAPCD1
NA	NA	TNFSF11	SLC51A	SCAMP1
NA	NA	TOR4A	SLCO1B7	SCAMP3
NA	NA	TP53TG5	SLMAP	SDHC
NA	NA	TRA2B	SMCHD1	SDK1
NA	NA	TRABD2A	SMIM36	SECISBP2L
NA	NA	TRAM2-AS1	SMPD3	SELV
NA	NA	TRAV7	SNAPC4	SEMA3D
NA	NA	TRAV18	SOWAHA	SEMA5B
NA	NA	TRIM6,TRIM6-TRIM34	sp|A6NDN8|UBIML_HUMAN Putative ubiquitin-like protein FUBI-like protein ENSP00000310146 OS=Homo sapiens OX=9606 PE=4 SV=2	SEPT4
NA	NA	TRUB2	sp|A6NIZ1|RP1BL_HUMAN Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1	SERPINB11
NA	NA	TTC27	sp|Q8IZM0|CNG1O_HUMAN Putative CNGA1-overlapping antisense gene protein OS=Homo sapiens OX=9606 PE=5 SV=1	SETD1A
NA	NA	TTLL2	sp|Q8N8P6|YX004_HUMAN Putative uncharacterized protein FLJ39060 OS=Homo sapiens OX=9606 PE=2 SV=1	SETDB2
NA	NA	UBA1	sp|Q9H8V8|YD018_HUMAN Putative uncharacterized protein FLJ13197 OS=Homo sapiens OX=9606 PE=5 SV=1	SGSM2
NA	NA	UBE2D4	SPANXN2	SH3BP2
NA	NA	UBE2H	SPDYE3	SH3BP5
NA	NA	UBTF	SPIN2A	SH3D21
NA	NA	UCN	SPIN2B	SIPA1L2
NA	NA	UGP2	SPIN4	SKA1
NA	NA	UNC13D	SPINT2	SKP2
NA	NA	UNC45B	SPRYD7	SLC2A9
NA	NA	UNC80	SRMS	SLC2A14
NA	NA	UPP2	SRPK3	SLC10A7
NA	NA	UQCRC2	SRSF2	SLC12A4
NA	NA	USP10	SRSF5	SLC18A1
NA	NA	USP11	SSPN	SLC18A2
NA	NA	USP48	STAT6	SLC22A24
NA	NA	UTP11L	STRADA	SLC25A16
NA	NA	UTS2B	STRIP2	SLC25A21
NA	NA	VAMP1	SULF1	SLC25A37
NA	NA	VAMP4	SUMF1	SLC40A1
NA	NA	VPS51	SUN1	SLC47A1
NA	NA	VRK1	SUPT20HL2	SLC50A1
NA	NA	VWA5A	SYNE2	SLCO3A1
NA	NA	WDR45B	TACC2	SLFN13
NA	NA	WDR83OS	TADA2B	SLFN14
NA	NA	WFDC1	TAF1C	SMAD2
NA	NA	WT1-AS	TBR1	SMC4
NA	NA	WWOX	TBXAS1	SMC5
NA	NA	WWP2	TCP11	SMIM7
NA	NA	XAF1	TDRD15	SMIM15
NA	NA	YIF1A	TEF	SMPD1
NA	NA	YY1AP1	TESK2	SNUPN
NA	NA	ZC3H14	TGFBR1	SNURF
NA	NA	ZMAT4	TGIF1	SNX12
NA	NA	ZNF20	THAP5	SNX22
NA	NA	ZNF134	TIAM1	SORL1
NA	NA	ZNF175	TIGD1	SOX10
NA	NA	ZNF189	TIGD7	sp|Q9UF83|YM012_HUMAN Uncharacterized protein DKFZp434B061 OS=Homo sapiens OX=9606 PE=2 SV=2
NA	NA	ZNF227	TMC3	sp|Q03112-1|MECOM_HUMAN
NA	NA	ZNF229	TMEM5	SPATA20
NA	NA	ZNF287	TMEM27	SPOCK3
NA	NA	ZNF362	TMEM120A	SPP1
NA	NA	ZNF623	TMEM191A	SPRYD7
NA	NA	ZNF718	TMEM202	SPTBN1
NA	NA	ZNF784	TMEM216	ST3GAL5
NA	NA	ZNF805	TMPRSS4	STAG3L1
NA	NA	ZNF826P	TNC	STAG3L2
