mean|ud_vs_ud	mean|30m_vs_ud	mean|1h_vs_ud	mean|6h_vs_ud	mean|1d_vs_ud
LRRC73	FER	CCDC86	C19orf18	ANKRD36C
MAP3K15	FGF14	CCDC88B	C19orf25	ANKRD44
MAP7	FRRS1L	CCDC90B	C20orf24	ANKRD63
MBD1	GALNT9	CCK	CALM1	ANO3
MCF2L	GLS2	CCL8	Cap	AOPEP
MIGA2	GNAS	CD9	CASP6	AP1G2
MOB3A	GRHPR	CDH11	CATSPERB	AP3M2
MOB3B	GRID2	CDYL	CBX7	AP003419.1
MRAP2	HEPH	CEP19	CCDC78	APIP
MRPL47	HIST1H2AB	CEP131	CCDC83	AQP6
MSI2	HIST1H2AD	CGNL1	CCDC174	ARHGAP5-AS1
NAV3	HIST3H2A	CHID1	CCL11	ARHGAP12
NBEAL1	HMGN2	CHMP2B	CDK8	ARHGAP22
NCOA7	HYKK	CHMP4BP1	CDK11A	ARHGAP39
NR1I2	IBA57	CKMT2	CEP85L	ARHGEF17
NUDT15	IKZF4	CLEC14A	CFAP36	ARID3C
OXR1	IRF6	CLK4	CGB1	ARMS2
PALMD	KCNG4	CLSTN3	CGB2	ARRDC4
PARD3B	KCNJ4	CMPK2	CHMP3	ASB10
PCMTD2	KIAA1407	CNBP	CLCF1	ASB17
PDE8A	KIAA1549	CNTN4	CLCN6	ASB18
PDLIM2	KIF12	COBLL1	CLEC4D	ATG4B
PDZD11	KLHL5	CREBZF	COQ7	ATG5
PHF14	KTN1	CREM	CPNE4	ATG9A
PIK3CG	LATS2	CRYBA4	CPNE6	ATP5C1
PLB1	LCHN	CTSZ	CREG1	ATP5F1C
PON2	LDHD	CXorf36	CRKL	ATP8B3
POTEB3	LHFP	CYB561D1	CROCC2	ATP11A
PRKACG	LIN37	CYP24A1	CRYGC	ATP12A
PROSER2	LINC00114	CYP46A1	CRYM	ATXN7L2
PRR5	LINC01558	DCTN2	CSF2RA	AURKC
PSMB7	LRGUK	DDA1	CYTH1	AXDND1
PTK2	LRTM2	DDAH1	DCLK1	B3GALTL
R3HDM2	LTB4R	DDX3Y	DDX52	BAG5
RASSF9	LY6H	DEFB123	DES	BAHD1
RGS20	MAB21L2	DEFB128	DHX33	BARGIN
RPL23A	MAPT	DGCR14	DIAPH2	BAX
RPLP0	MDM1	DHPS	DLG5	BCAM
RPS6KB1	MEI1	DHRS4L1	DNAH5	BCAS3
SCAMP1	MELK	DHRS11	DNASE1L2	BCL2L1
SCN2B	METTL15	DMRT1	DOT1L	BCL7A
SECISBP2L	MKRN2	DPP3	DPY19L1	BCORP1
SEMA5B	MMP11	DPYSL4	DUSP13	BECN2
SLA	MNT	DTNA	DYNC1LI2	BEST2
SLC1A1	MOK	DYNLRB1	DYNC2LI1	BEX2
SLC5A12	MYBL1	EEPD1	ECT2L	BIN2
SLC35F5	N4BP2	EFCAB9	EEF1D	BNIP2
SLC40A1	NA	EIF2D	EGLN1	BPIFB4
SLCO1B7	NANOGNB	EIF4ENIF1	ELMOD1	BPNT1
SNHG14	NAPEPLD	EMB	ENAH	BRSK2
SOX10	NBPF1	EMG1	ENTHD2	BTBD16
sp|A6NDN8|UBIML_HUMAN Putative ubiquitin-like protein FUBI-like protein ENSP00000310146 OS=Homo sapiens OX=9606 PE=4 SV=2	NEK11	ENTPD4	EPB41L2	BTN2A1
sp|A6NIZ1|RP1BL_HUMAN Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1	NEO1	EPM2A	ERVK-7	BTN2A3P
SPEG	NEURL1	EPS8L2	ERVK13-1	C1GALT1C1
SRMS	NFATC4	ESCO2	ETHE1	C1orf52
SRPK3	NFS1	ESRG	EVA1A	C1orf185
SSX9	NMNAT3	ESYT2	EXOC4	C1orf189
SYNE2	NOX4	FAM19A5	FAAP100	C1orf194
TACC2	NRN1	FAM69B	FADS3	C6
TAZ	NSMAF	FAM71D	FAM45A	C6orf201
TBC1D2	NTAN1	FAM98A	FAM74A1	C7orf31
TBX15	OLFML2A	FAM127A	FAM74A4	C7orf72
TBXAS1	OR2G6	FAM133A	FAM150B	C8orf82
TCF3	ORAI3	FAM162B	FAM178A	C9orf57
THEM6	ORC3	FAM205CP	FAM222A	C10orf76
TMCC1	P2RX7	FAM220BP	FBLIM1	C10orf91
TMEM60	PAM	FBXO5	FBP2	C10orf120
TMEM208	PANO1	FER1L4	FBXO3	C11orf21
TMPRSS2	PCDHB4	FGF2	FBXO11	C14orf79
TNFRSF12A	PCDHB8	FILIP1L	FBXW9	C16orf95
TRAC	PCDHB13	FIP1L1,AC058822.1	FGFR1OP	C19orf12
TRAF3IP1	PDCD4	GABARAPL1	FIGF	C20orf144
TRIM29	PDE4D	GABBR1	FOLR3	CA7
TTC30B	PDSS1	GABPA	FPGS	CACNB2
TTC39B	PI4KB	GALNT3	FPGT	CALN1
TTLL10	PLCB3	GARNL3	FRMD6-AS1	CASP4
TXNDC2	POLR1A	GAS6	FSD2	CASP5
TXNRD3NB	PPARD	GDPD5	FSHR	CBX3
UBE2Q2L	PPP2R3C	GEMIN2	FSTL1	CC2D1B
UGT1A4	PPT2	GGA3	FUT3	CCBE1
UPK3B	PRKCB	GLE1	GABARAPL1	CCDC13
UQCRC2	PSMA8	GMCL1	GALNT16	CCDC28A
USP13	PSMC3IP	GNN	GATA1	CCDC42
VTI1B	PSRC1	GOT2	GBA	CCDC51
VTN	PTCD1	GPR68	GGTLC1	CCDC63
ZNF181	PTK6	GPR123	GJB1	CCDC66
ZNF263	PTPN12	GPR158	GLYATL1	CCDC77
ZNF433	PYGO1	GPRASP1	GNG2	CCDC79
ZNF487	RALGAPB	GPS2,AC026954.2	GON4L	CCDC86
ZNF718	REG3A	GRAMD3	GPR37	CCDC140
NA	RHOQ	GRAMD4	GRAMD1B	CCDC149
NA	RORC	GRXCR2	GRAMD1C	CCDC180
NA	RPA2	GSTA1	GRHL3	CCER1
NA	RPA4	GSTO2	GRIN2A	CCL4L1
NA	RSPH10B2	HDAC10	GRM4	CCL23
NA	RSPH10B	HERC4	GSDMD	CCND3
NA	RXYLT1	HIGD2B	GSR	CCNE1
NA	SAPCD1	HNRNPF	GSX2	CCNH
NA	SH3D21	HSF2BP	GTDC1	CCNY
NA	SLC30A4	HSPA4L	GTSCR1	CCR3
NA	SLC30A8	HSPA14	GUSBP11	CCR8
NA	SMARCD2	HYDIN	HCAR3	CCSER2
NA	SMC4	IFI44	HECW1	CD70
NA	SMC5	IFT46	HES6	CDC23
NA	SMYD3	IFT81	HLTF	CDH10
NA	SNF8	IFT88	HNMT	CDH11
NA	SNHG15	IGHD	HOXB4	CDK13
NA	SNUPN	IGHV3-33	HRH2	CDK18
NA	SP1	IGHV4-34	HSPB9	CDK20
NA	sp|Q6ZRP5|YD019_HUMAN Putative uncharacterized protein FLJ46204 OS=Homo sapiens OX=9606 PE=5 SV=2	IL1R2	HTATIP2	CDKAL1
NA	SPATA20	IL18BP	ICAM2	CDX1
NA	SPOCK3	INHA	IDH3B	CECR6
NA	STRADB	INPP5B	IDH3G	CELF1
NA	STXBP5	INSM1	IDI2-AS1	CELF2
NA	SUN3	IRGC	IL1RN	CELF2-AS1
NA	SUOX	ISCA1	IL17RD	CENPT
NA	TCF25	ISM2	IL33	CENPVL3
NA	TEF	JRK	IPP	CEP44
NA	TMEM52	KCNAB2	IQCB1	CEP112
NA	TMEM164	KCNC1	IRF5	CFAP58
NA	TMEM216	KCNJ11	IST1	CHAMP1
NA	TMEM241	KIF22	ISX	CHEK1
NA	TMTC1	KLF8	ITCH	CHFR
NA	TNFRSF10B	KLHDC10	JAKMIP1	CHID1
NA	TNFSF14	KMT2B	JPH2	CHMP4C
NA	TRMT1L	KRT26	KCND1	CIRH1A
NA	TRPC3	LAMP1	KCNG4	CLBA1
NA	TSPAN10	LAMP2	KCNH2	CLEC3B
NA	TUBB8	LENG1	KIAA0226	CLEC14A
NA	TVP23A	LINC00963	KIAA1211L	CNGA2
NA	UBE2D3	LIPT2	KIF27	CNN3
NA	UEVLD	LRP1	KIZ	CNNM4
NA	VN1R1	LZTFL1	KLC1	CNOT1
NA	WSCD1	MADD	KLF11	CNTRL
NA	XRRA1	MAFK	KPNA7	COL3A1
NA	XXYLT1	MAML1	LARP7	COL6A5
NA	YPEL5	MAP7	LATS1	COL12A1
NA	ZAR1	MAPT	LGALS8	COL18A1
NA	ZBTB24	MARCKSL1	LHFPL3	COLCA2
NA	ZBTB40	MARK1	LIF	COLEC11
NA	ZCWPW2	MCCC2	LINC00472	COMMD5
NA	ZFAND2B	MDGA2	LINC00483	COQ5
NA	ZFYVE21	MED15	LINC00968	COX20
NA	ZNF112	METTL5	LMNTD1	CPLX1
NA	ZNF148	MGAT1	LRRC17	CREBZF
NA	ZNF302	MIB2	LRRK1	CREM
NA	ZNF639	MPHOSPH10	LTN1	CRY2
NA	ZNF793	MRPL2	LYZ	CSRP2BP
NA	ZNRD1	MRPL50	MAPK13	CTNNBL1
NA	ZSCAN12	MRTO4	MCIDAS	CUL2
NA	NA	MS4A13	MCMDC2	CUL7
NA	NA	MTUS2	MCTS1	CUX1
NA	NA	MUS81	MFF	CWC25
NA	NA	N4BP2L1	MIA2	CXCL10
NA	NA	NA	MIR22HG	CXorf23
NA	NA	NAIF1	MIR31HG	CYB5R3
NA	NA	NAT9	MITF	CYP4A22
NA	NA	NAV3	MKNK1	CYP27B1
NA	NA	NCKAP5	MLLT1	CYS1
NA	NA	NDC80	MMP3	DACT3
NA	NA	NEMF	MON1B	DBF4B
NA	NA	NFATC2IP	MRFAP1L1	DCAF7
NA	NA	NGFRAP1	MRGPRG	DCAF12
NA	NA	NKAIN1	MRPL42	DCDC2C
NA	NA	NLRX1	MRPS11	DDA1
NA	NA	NME7	MSANTD1	DDX39A
NA	NA	NOL8	MT-ATP8	DEGS2
NA	NA	NOL12,Z83844.1	MTCH1	DENND6B
NA	NA	NOX3	MTF2	DFNA5
NA	NA	NQO2	MTO1	DGKD
NA	NA	NR1H3	MUM1	DHRS3
NA	NA	NR6A1	MUM1L1	DIS3
NA	NA	OOSP4A	MURC	DIS3L
NA	NA	OPTC	MXRA5	DNAH14
NA	NA	OR1C1	MXRA8	DNAJB2
NA	NA	OSGEPL1	MYBPC3	DNAJB3
NA	NA	PAK4	MYO9A	DNAJC11
NA	NA	PAPPA2	N4BP2	DNAJC19
NA	NA	PARG	NA	DOCK2
NA	NA	PCDHB2	NADK	DOK5
NA	NA	PCDHB14	NAGK	DOPEY2
NA	NA	PCDHGA11	NAIP	DPY19L1
NA	NA	PCYT2	NBAS	DRP2
NA	NA	PDE4D	NBPF3	DSN1
NA	NA	PDS5B	NDUFAB1	DTNA
NA	NA	PEX1	NDUFAF6	DUBR
NA	NA	PGBD1	NDUFS6	DUS4L
NA	NA	PGR	NKD1	DUSP11
NA	NA	PHGDH	NLRP12	DYNLT3
NA	NA	PIK3R3	NMNAT2	DZANK1
NA	NA	PLCD4	NPAS3	EAF2
NA	NA	PLEKHA7	NPIPA5	EBAG9
NA	NA	PLEKHG7	NPR3	EBLN1
NA	NA	PLK3	NRK	EFCAB9
NA	NA	PLXNB2	NT5C1B	EFCAB14
NA	NA	PNKD	NUAK1	EHMT2
NA	NA	PPIAL4G	NUDCD3	EID3
NA	NA	PPM1L	NUDT1	ELF5
NA	NA	PPP1R14C	NUDT9	ELOVL5
NA	NA	PPP1R14D	ORC4	EMG1
NA	NA	PPP2R2C	OSBPL2	EN2
NA	NA	PPP2R5C	OTOF	ENDOV
NA	NA	PRDM5	OTOL1	EPHA1
NA	NA	PREX2	OTUD4	EPHA4
NA	NA	PRPF4	PAFAH1B2	EPS8L1
NA	NA	PRR5	PAIP1	EPS8L2
NA	NA	PRSS46	PCDHB8	ERICH3
NA	NA	PTOV1	PCDHB13	ERVW-1
NA	NA	PVALB	PCDHGA4	EVA1A
NA	NA	PXDN	PDCL2	EXOC3
NA	NA	QPCT	PDE4A	EXOG
NA	NA	RAB9A	PDS5B	EXOSC3
NA	NA	RAB44	PDXDC1	F2RL1
NA	NA	RAD1	PLEKHH2	F8A1
NA	NA	RAD51AP2	PNLIPRP2	FADS6
NA	NA	RAPGEF4	PNLIPRP3	FAM66E
NA	NA	RBM15	PNPLA1	FAM71C
NA	NA	REM2	POLD3	FAM83E
NA	NA	RFK	POLH	FAM90A2P
NA	NA	RIMS2	POP1	FAM90A27P
NA	NA	RNASEK	PPCDC	FAM101B
NA	NA	RNF186	PPIP5K2	FAM120AOS
NA	NA	RNF214	PPP2R3C	FAM127B
NA	NA	RPAIN	PPP4R4	FAM127C
NA	NA	RPIA	PRAM1	FAM133A
NA	NA	RPTOR	PRKCG	FAM135A
NA	NA	RSRP1	PRKCZ	FAM135B
NA	NA	S1PR4	PRKD2	FAM161B
NA	NA	S100A14	PROCA1	FAM173A
NA	NA	SAMD13	PRPF38A	FAM205BP
NA	NA	SCFD2	PRR29	FAM229B
NA	NA	SCIN	PSMC3IP	FAM240A
NA	NA	SELV	PTPN12	FAM240B
NA	NA	SENP7	PTRH1	FBLN1
NA	NA	SETDB2	PUS1	FBXL2
NA	NA	SFXN4	RAB12	FBXL16
NA	NA	SGSM2	RAPH1	FBXO5
NA	NA	SH3BP2	RASSF1	FBXO36
NA	NA	SIAH1	RBBP6	FBXO39
NA	NA	SIM1	RBCK1	FBXW12
NA	NA	SLC4A4	RBP2	FCER1A
NA	NA	SLC9A6	RCBTB2	FCHSD1
NA	NA	SLC13A1	REG3G	FDXACB1
NA	NA	SLC25A46	REPIN1	FGF23
NA	NA	SLC35D2	RFNG	FGFR1OP2
NA	NA	SLC39A1	RGS5	FGL2
NA	NA	SLCO3A1	RHBDF2	FKBP9
NA	NA	SMAD4	RHPN1	FLNC
NA	NA	SMPD1	RIC8B	FLYWCH1
NA	NA	SNAPC4	RILPL1	FLYWCH2
NA	NA	SNURF	RNASEH2C	FMN2
NA	NA	SNX11	ROBO2	FMNL3
NA	NA	SOGA1	ROPN1	FNBP1
NA	NA	SOWAHA	RPS15	FNDC5
NA	NA	SOX11	RPUSD3	FNIP2
NA	NA	sp|Q8N8P6|YX004_HUMAN Putative uncharacterized protein FLJ39060 OS=Homo sapiens OX=9606 PE=2 SV=1	RRNAD1	FOXO3
NA	NA	sp|Q9H8V8|YD018_HUMAN Putative uncharacterized protein FLJ13197 OS=Homo sapiens OX=9606 PE=5 SV=1	RSPH3	FSD1
NA	NA	SPIN1	RUNX2	FTO
NA	NA	SRR	RWDD3	FUT4
NA	NA	STARD3NL	SCNN1D	GAGE5
NA	NA	STRIP1	SDHC	GAGE6
NA	NA	SULF1	SDR39U1	GALK1
NA	NA	SUMF1	SDS	GALNT10
NA	NA	SVEP1	SEC22C	GAP43
NA	NA	SYNGR1	SEPT2	GBP6
NA	NA	TAF1D	SERF2	GBX2
NA	NA	TAGAP	SESN1	GCC1
NA	NA	TAS2R60	SGCD	GFRA3
NA	NA	TBC1D16	SIX1	GID4
NA	NA	TBCD	SKP2	GIMAP4
NA	NA	TBR1	SLC2A12	GIN1
NA	NA	TCEA2	SLC2A14	GINS3
NA	NA	TEKT4	SLC7A6	GLIPR1L2
NA	NA	TEN1	SLC24A5	GLYATL2
NA	NA	TENM3	SLC25A16	GMPS
NA	NA	TERF2IP	SLC25A34	GNAZ
NA	NA	TEX33	SLC25A37	GNE
NA	NA	TFDP2	SLC25A52	GNL3
NA	NA	TGFBR1	SLC27A4	GNPTG
NA	NA	THAP5	SLC30A4	GOPC
NA	NA	TIRAP	SLC35A3	GP1BA
NA	NA	TK2	SLC36A2	GPATCH3
NA	NA	TMC4	SLC39A12	GPD2
NA	NA	TMCO6	SMARCD2	GPKOW
NA	NA	TMEM27	SMC6	GPN1
NA	NA	TMEM31	SND1-IT1	GPR124
NA	NA	TMEM126B	SNX12	GPR161
NA	NA	TMEM177	SORBS3	GPRIN2
NA	NA	TMEM191A	SP1	GPSM1
NA	NA	TMEM198B	sp|A8MXQ7|YH010_HUMAN Putative IQ motif and ankyrin repeat domain-containing protein LOC642574 OS=Homo sapiens OX=9606 PE=5 SV=2	GRHL3
NA	NA	TMIE	sp|P0DOX4|IGE_HUMAN Immunoglobulin epsilon heavy chain OS=Homo sapiens OX=9606 PE=1 SV=1	GRM7
NA	NA	TNFSF4	sp|Q6ZSR3|YO027_HUMAN Putative uncharacterized protein FLJ45275, mitochondrial OS=Homo sapiens OX=9606 PE=5 SV=1	GRSF1
NA	NA	TNN	SPCS2	GSAP
NA	NA	TOM1L1	SPEF2	GSC2
NA	NA	TOM1L2	SPR	GSN
NA	NA	TOPORS	SPSB4	GSTO2
NA	NA	TRAPPC5	SRRM5	GTF3C5
NA	NA	TRDN	SSH1	GTPBP2
NA	NA	TRPM1	SSX7	GZMA
NA	NA	TSKS	STAC	H1FX-AS1
NA	NA	TSPAN4	STAG3L1	H2AFB1
NA	NA	TST	STAG3L2	H2AFB2
NA	NA	TTC4	STAG3L3	HAL
NA	NA	TXNRD3	STAG3L5P,STAG3L5P-PVRIG2P-PILRB	HBB
NA	NA	UBE2C	STK11IP	HCG22
NA	NA	USP40	STKLD1	HCLS1
NA	NA	VSTM4	STOX2	HDAC10
NA	NA	VWA3A	STX1A	HEMGN
NA	NA	WDPCP	STX5	HERC4
NA	NA	WEE1	SUN1	HEY2
NA	NA	WHAMMP3	SUPT20HL1	HGS
NA	NA	WIPI2	SYCP1	HIBCH
NA	NA	WIZ	SYNM	HIPK1
NA	NA	WNT2	SYT5	HMG20B
NA	NA	WRB	SYT6	HOXA1
NA	NA	YIF1B	TAGLN	HPDL
NA	NA	ZBTB5	TBX15	HS3ST2
NA	NA	ZBTB17	TCEAL4	HSD17B6
NA	NA	ZBTB34	TCERG1	HSF2
NA	NA	ZCCHC8	TDP1	HSPA5
NA	NA	ZDHHC3	TEAD1	HTR3D
NA	NA	ZDHHC5	TESK1	IDI1
NA	NA	ZFAND1	TESPA1	IFNA5
NA	NA	ZFAND2B	TFAM	IFNL4
NA	NA	ZFP62	TGFB3	IFT57
NA	NA	ZNF34	THAP4	IFT80
NA	NA	ZNF106	TIGD5	IGHV3-9
NA	NA	ZNF131	TIMM22	IGSF3
NA	NA	ZNF132	TINAG	IKZF1
NA	NA	ZNF133	TIRAP	IL6
NA	NA	ZNF195	TM2D2	IL17A
NA	NA	ZNF205	TMEM41A	IL18RAP
NA	NA	ZNF417	TMEM78	IL32
NA	NA	ZNF438	TMEM99	IMUP
NA	NA	ZNF484	TMEM237	INA
NA	NA	ZNF512	TMPRSS7	IQCF6
NA	NA	ZNF658	TMSB10	IRAK1BP1
NA	NA	ZNF675	TNNI3K	IRAK2
NA	NA	ZNF761	TP53TG5	ITGB1BP2
NA	NA	ZNF804A	TPST2	ITLN1
NA	NA	ZPBP2	TRAPPC3	JAKMIP2
NA	NA	ZPBP	TRMT44	KANSL3
NA	NA	ZSWIM1	TTC23	KCNK6
NA	NA	NA	TTF1	KCNQ2
NA	NA	NA	TTI1	KCTD3
NA	NA	NA	UBA1	KCTD5
NA	NA	NA	UBE2W	KDM3B
NA	NA	NA	UCK1	KIAA0391
NA	NA	NA	UFSP1	KIAA0556
NA	NA	NA	UMODL1	KIAA0586
NA	NA	NA	UNC80	KIAA0930
NA	NA	NA	UPP2	KIAA1217
NA	NA	NA	UTP11L	KIAA1328
NA	NA	NA	VAPB	KIAA1522
NA	NA	NA	VWA5A	KIF3B
NA	NA	NA	WDR36	KIF26B
NA	NA	NA	WDR45B	KIRREL3-AS3
NA	NA	NA	WFDC11	KL
NA	NA	NA	WT1-AS	KLF4
NA	NA	NA	XRRA1	KLF10
NA	NA	NA	YAE1D1	KLHDC7B
NA	NA	NA	YPEL3	KLHL7
NA	NA	NA	ZBTB38	KLHL12
NA	NA	NA	ZC3H14	KLHL20
NA	NA	NA	ZFAS1	KLHL42
NA	NA	NA	ZIK1	KRT87P
NA	NA	NA	ZMYND8	KTN1
NA	NA	NA	ZNF112	KXD1
NA	NA	NA	ZNF124	L3HYPDH
NA	NA	NA	ZNF134	L3MBTL1
NA	NA	NA	ZNF189	LEMD1
NA	NA	NA	ZNF211	LETMD1
NA	NA	NA	ZNF229	LHFPL4
NA	NA	NA	ZNF273	LIAS
NA	NA	NA	ZNF276	LIMS1
NA	NA	NA	ZNF318	LIN28B
NA	NA	NA	ZNF580	LINC00476
NA	NA	NA	ZNF805	LINC00482
NA	NA	NA	ZNF860	LINC00588
NA	NA	NA	NA	LINC00612
NA	NA	NA	NA	LMO2
NA	NA	NA	NA	LMOD1
NA	NA	NA	NA	LNPEP
NA	NA	NA	NA	LOC285556
NA	NA	NA	NA	LONRF2
NA	NA	NA	NA	LPHN3
NA	NA	NA	NA	LPL
NA	NA	NA	NA	LRG1
NA	NA	NA	NA	LRIT2
NA	NA	NA	NA	LRRC49
NA	NA	NA	NA	LRRC61
NA	NA	NA	NA	LRRC75A
NA	NA	NA	NA	LRRFIP1
NA	NA	NA	NA	LYRM5
NA	NA	NA	NA	LYSMD2
NA	NA	NA	NA	MAEL
NA	NA	NA	NA	MAFK
NA	NA	NA	NA	MAGEB4
NA	NA	NA	NA	MAP2K3
NA	NA	NA	NA	MAP3K2
NA	NA	NA	NA	MAP3K3
NA	NA	NA	NA	MAP3K7CL
NA	NA	NA	NA	MAP6
NA	NA	NA	NA	MAP7D3
NA	NA	NA	NA	MAPK12
NA	NA	NA	NA	MARCH6
NA	NA	NA	NA	MAU2
NA	NA	NA	NA	MAX
NA	NA	NA	NA	MCAT
NA	NA	NA	NA	MDGA2
NA	NA	NA	NA	MDH1
NA	NA	NA	NA	MDM2
NA	NA	NA	NA	MEF2D
NA	NA	NA	NA	MEI4
NA	NA	NA	NA	MEMO1
NA	NA	NA	NA	MEN1
NA	NA	NA	NA	MFSD5
NA	NA	NA	NA	MIB2
NA	NA	NA	NA	MICU3
NA	NA	NA	NA	MIDN
NA	NA	NA	NA	MINPP1
NA	NA	NA	NA	MIPOL1
NA	NA	NA	NA	MMAB
NA	NA	NA	NA	MMP23A
NA	NA	NA	NA	MMTAG2
NA	NA	NA	NA	MOB3C
NA	NA	NA	NA	MOGS
NA	NA	NA	NA	MORC2
NA	NA	NA	NA	MOV10L1
NA	NA	NA	NA	MPHOSPH10
NA	NA	NA	NA	MPV17L
NA	NA	NA	NA	MREG
NA	NA	NA	NA	MRPL12
NA	NA	NA	NA	MRPL14
NA	NA	NA	NA	MRPS27
NA	NA	NA	NA	MSRB2
NA	NA	NA	NA	MT2A
NA	NA	NA	NA	MTHFD1L
NA	NA	NA	NA	MTHFD2
NA	NA	NA	NA	MTMR2
NA	NA	NA	NA	MTUS2
NA	NA	NA	NA	MXD3
NA	NA	NA	NA	MYH8
NA	NA	NA	NA	MYH10
NA	NA	NA	NA	MYL4
NA	NA	NA	NA	MYL5
NA	NA	NA	NA	MYLK2
NA	NA	NA	NA	MYMX
NA	NA	NA	NA	MYO5B
NA	NA	NA	NA	NA
NA	NA	NA	NA	NAA60
NA	NA	NA	NA	NADK2
NA	NA	NA	NA	NADSYN1
NA	NA	NA	NA	NAT1
NA	NA	NA	NA	NAT10
NA	NA	NA	NA	NBEAL1
NA	NA	NA	NA	NDRG3
NA	NA	NA	NA	NDST1
NA	NA	NA	NA	NDUFAF2
NA	NA	NA	NA	NDUFS1
NA	NA	NA	NA	NEFH
NA	NA	NA	NA	NEIL3
NA	NA	NA	NA	NEK10
NA	NA	NA	NA	NEUROG3
NA	NA	NA	NA	NEXN
NA	NA	NA	NA	NEXN-AS1
NA	NA	NA	NA	NFATC4
NA	NA	NA	NA	NGLY1
NA	NA	NA	NA	NGRN
NA	NA	NA	NA	NINL
NA	NA	NA	NA	NIPAL4
NA	NA	NA	NA	NKAP
NA	NA	NA	NA	NKTR
NA	NA	NA	NA	NLRP8
NA	NA	NA	NA	NME7
NA	NA	NA	NA	NOM1
NA	NA	NA	NA	NOS2
NA	NA	NA	NA	NOX4
NA	NA	NA	NA	NQO2
NA	NA	NA	NA	NR3C1
NA	NA	NA	NA	NRCAM
NA	NA	NA	NA	NRG2
NA	NA	NA	NA	NRL
NA	NA	NA	NA	NRXN3
NA	NA	NA	NA	NSG1
NA	NA	NA	NA	NSUN5P1
NA	NA	NA	NA	NT5C3B
NA	NA	NA	NA	NUGGC
NA	NA	NA	NA	NUP210
NA	NA	NA	NA	NWD2
NA	NA	NA	NA	OCEL1
NA	NA	NA	NA	ODF2L
NA	NA	NA	NA	OGDHL
NA	NA	NA	NA	OR1S2
NA	NA	NA	NA	OR2B11
NA	NA	NA	NA	OR6Y1
NA	NA	NA	NA	OSBPL1A
NA	NA	NA	NA	OSBPL8
NA	NA	NA	NA	OTOF
NA	NA	NA	NA	PABPN1L
NA	NA	NA	NA	PACRGL
NA	NA	NA	NA	PAK4
NA	NA	NA	NA	PAM
NA	NA	NA	NA	PAXIP1
NA	NA	NA	NA	PCDHA7
NA	NA	NA	NA	PCDHGA8
NA	NA	NA	NA	PCDHGA10
NA	NA	NA	NA	PCK2
NA	NA	NA	NA	PCSK2
NA	NA	NA	NA	PCSK4
NA	NA	NA	NA	PDE3B
NA	NA	NA	NA	PDGFRA
NA	NA	NA	NA	PDIA6
NA	NA	NA	NA	PDIK1L
NA	NA	NA	NA	PDK2
NA	NA	NA	NA	PEO1
NA	NA	NA	NA	PEX14
NA	NA	NA	NA	PFKL
NA	NA	NA	NA	PGR
NA	NA	NA	NA	PHEX
NA	NA	NA	NA	PHF8
NA	NA	NA	NA	PHKG1
NA	NA	NA	NA	PI16
NA	NA	NA	NA	PIAS1
NA	NA	NA	NA	PIK3CD
NA	NA	NA	NA	PIK3R2
NA	NA	NA	NA	PIN4
NA	NA	NA	NA	PIP4K2A
NA	NA	NA	NA	PITPNM3
NA	NA	NA	NA	PITX1
NA	NA	NA	NA	PLA2G15
NA	NA	NA	NA	PLCB4
NA	NA	NA	NA	PLCZ1
NA	NA	NA	NA	PLEK2
NA	NA	NA	NA	PLEK
NA	NA	NA	NA	PLN
NA	NA	NA	NA	PLOD3
NA	NA	NA	NA	PLXDC1
NA	NA	NA	NA	PMEPA1
NA	NA	NA	NA	PMS2CL
NA	NA	NA	NA	PNPO
NA	NA	NA	NA	POGK
NA	NA	NA	NA	POLE3
NA	NA	NA	NA	POLR3C
NA	NA	NA	NA	POP1
NA	NA	NA	NA	PPAPDC1B
NA	NA	NA	NA	PPAT
NA	NA	NA	NA	PPEF2
NA	NA	NA	NA	PPIL3
NA	NA	NA	NA	PPIL6
NA	NA	NA	NA	PPP1R1A
NA	NA	NA	NA	PPP1R12C
NA	NA	NA	NA	PPP1R14A
NA	NA	NA	NA	PPP2R2B
NA	NA	NA	NA	PPP3CA
NA	NA	NA	NA	PPP6R3
NA	NA	NA	NA	PRB4
NA	NA	NA	NA	PRORSD1P
NA	NA	NA	NA	PROX1
NA	NA	NA	NA	PRPF31
NA	NA	NA	NA	PRR5L
NA	NA	NA	NA	PRR20G
NA	NA	NA	NA	PRRC2B
NA	NA	NA	NA	PRSS33
NA	NA	NA	NA	PRX
NA	NA	NA	NA	PSMD1
NA	NA	NA	NA	PSMD2
NA	NA	NA	NA	PSTPIP2
NA	NA	NA	NA	PTBP3
NA	NA	NA	NA	PTCH1
NA	NA	NA	NA	PTPN7
NA	NA	NA	NA	PTTG3P
NA	NA	NA	NA	PURG
NA	NA	NA	NA	PVALB
NA	NA	NA	NA	PVT1
NA	NA	NA	NA	PYGM
NA	NA	NA	NA	PYURF
NA	NA	NA	NA	RAB3A
NA	NA	NA	NA	RAB26
NA	NA	NA	NA	RABL2A
NA	NA	NA	NA	RABL2B
NA	NA	NA	NA	RAD17
NA	NA	NA	NA	RADIL
NA	NA	NA	NA	RAG2
NA	NA	NA	NA	RAI14
NA	NA	NA	NA	RALGAPA1
